,광진구,동대문구,성동구,중랑구
775,3.718,2.248,2.902,1.738
776,0.948,0.538,0.612,0.468
777,1.54,0.996,1.388,0.746
778,2.106,1.452,2.12,0.968
779,3.774,2.448,3.206,1.628
780,3.964,2.766,3.602,1.916
781,3.37,2.23,2.83,1.494
782,2.22,1.28,1.55,0.88
783,2.934,1.742,2.32,1.298
784,3.89,2.698,3.746,1.756
785,1.844,1.186,1.616,0.878
786,3.982,2.758,3.67,1.872
787,4.452,2.796,4.042,2.036
788,1.418,1.038,1.346,0.662
789,4.004,2.424,3.872,1.858
790,2.734,1.692,2.444,1.424
791,3.838,2.644,4.144,1.802
792,4.254,2.712,4.168,2.026
793,3.328,2.302,3.072,1.586
794,3.72,2.436,3.628,1.804
795,4.38,2.914,4.478,2.0
796,5.144,2.64,4.646,2.178
797,7.346,3.2,6.236,2.536
798,6.842,3.544,5.984,2.556
799,1.268,0.746,0.942,0.636
800,5.178,3.154,4.606,2.406
801,6.02,3.204,5.246,2.418
802,5.116,3.126,4.624,2.276
803,5.064,2.764,4.422,2.358
804,4.026,2.358,3.562,1.808
805,4.528,2.866,4.348,2.006
806,5.428,3.126,4.76,2.362
807,8.032,3.89,6.412,2.934
808,2.844,1.926,2.402,1.308
809,6.322,3.66,5.5,2.828
810,8.388,3.984,7.204,3.256
811,9.314,3.804,7.798,2.982
812,7.918,4.2,6.9,3.052
813,8.888,4.524,7.802,3.572
814,9.53,4.944,8.19,3.71
815,5.112,3.226,4.744,2.44
816,6.652,4.272,6.254,3.296
817,7.972,4.208,7.538,3.65
818,8.954,4.228,8.56,3.634
819,8.092,4.62,7.712,3.678
820,8.884,5.112,8.16,4.226
821,7.884,4.858,7.286,3.782
822,8.456,4.742,7.528,3.82
823,8.646,5.056,8.25,4.026
824,8.18,4.69,7.456,3.976
825,7.72,4.126,7.508,3.764
826,7.918,4.534,7.668,3.556
827,8.646,5.03,7.918,4.182
828,7.936,5.264,7.606,4.034
829,8.236,5.152,7.44,4.216
830,8.414,4.99,7.714,4.036
831,9.248,4.994,7.778,4.456
832,8.0,3.926,6.952,3.476
833,8.684,5.504,8.442,4.17
834,9.12,5.958,8.302,4.482
835,10.564,5.666,9.384,5.366
836,10.162,5.53,8.294,4.54
837,3.798,2.7,2.916,2.04
838,11.258,6.128,9.296,5.75
839,3.37,1.924,2.938,1.848
840,5.634,3.894,5.458,3.224
841,5.59,4.234,5.726,3.308
842,5.188,3.732,4.748,2.904
843,6.774,4.59,6.002,3.486
844,7.62,5.06,6.86,3.902
845,9.586,5.208,7.822,4.374
846,9.688,5.26,8.864,4.294
847,7.762,5.264,7.67,4.044
848,9.01,5.97,8.72,4.634
849,9.246,6.128,8.824,4.788
850,11.848,5.988,10.096,5.778
851,11.53,6.216,9.376,5.392
852,10.51,5.424,8.616,5.068
853,11.066,5.416,9.142,4.858
854,11.466,5.876,9.51,5.284
855,11.26,5.546,9.314,5.286
856,9.89,6.274,8.46,5.05
857,9.848,6.014,8.248,5.572
858,6.114,4.554,6.004,3.728
859,1.04,0.66,0.71,0.588
860,8.058,4.198,6.622,4.156
861,8.22,5.27,7.166,4.548
862,8.118,5.47,7.324,4.846
863,9.202,5.88,8.248,5.452
864,8.858,6.478,8.164,5.752
865,1.588,1.044,1.086,0.846
866,7.188,4.538,6.054,4.25
867,10.754,5.972,9.568,5.614
868,3.838,2.816,3.612,2.18
869,5.558,4.012,4.936,3.07
870,8.398,6.51,8.296,5.274
871,8.906,6.682,8.884,5.8
872,8.832,6.448,8.428,5.362
873,12.18,6.764,9.37,5.952
874,9.69,5.562,8.116,4.6
875,10.29,6.402,9.002,5.298
876,7.082,5.06,6.12,3.888
877,10.642,7.032,9.32,5.456
878,10.59,6.998,8.974,5.53
879,10.916,7.312,9.294,6.02
880,11.88,6.894,10.316,6.078
881,11.23,6.274,9.04,5.366
882,10.832,6.674,9.158,5.632
883,7.798,5.862,7.05,4.778
884,10.556,7.328,8.958,5.978
885,10.164,7.192,8.58,6.084
886,11.056,7.682,9.36,6.168
887,11.886,7.078,9.388,6.262
888,11.026,7.156,9.482,5.808
889,10.232,7.644,8.876,5.706
890,10.31,7.41,8.864,5.854
891,5.766,4.368,5.002,3.266
892,9.83,7.154,8.872,5.414
893,11.202,8.07,9.57,6.12
894,9.54,6.434,7.484,5.136
895,9.65,6.286,8.002,5.156
896,9.974,7.78,9.07,5.83
897,9.928,7.654,8.722,5.794
898,10.588,7.506,8.76,5.848
899,11.174,7.672,8.976,6.278
900,11.092,7.93,9.084,6.034
901,10.758,6.942,8.342,6.14
902,10.154,6.632,8.312,5.492
903,9.648,7.204,7.88,5.382
904,10.312,7.604,8.522,5.958
905,2.07,1.364,1.492,1.084
906,5.06,2.976,4.084,1.786
907,9.178,6.414,7.704,5.052
908,10.948,7.24,9.334,6.284
909,11.762,6.704,8.558,5.632
910,7.042,5.296,5.936,4.066
911,3.952,2.812,3.05,2.004
912,10.132,7.746,8.648,6.072
913,10.74,7.74,8.688,6.252
914,10.232,7.18,8.6,6.108
915,10.608,6.468,8.74,5.628
916,11.508,7.026,9.326,6.034
917,10.302,7.786,9.068,6.372
918,8.708,7.19,7.532,5.356
919,10.484,7.906,8.558,6.322
920,9.5,8.022,8.328,6.148
921,9.364,6.654,7.49,5.472
922,11.314,7.334,8.666,6.614
923,5.756,4.17,4.69,3.666
924,0.526,0.39,0.416,0.276
925,7.702,6.208,7.474,4.868
926,9.75,7.616,8.836,6.432
927,9.516,7.336,8.544,6.302
928,9.988,7.232,8.64,5.58
929,10.198,6.954,7.986,5.786
930,6.658,4.566,4.626,3.854
931,7.488,5.63,6.012,5.174
932,9.018,7.398,8.376,6.346
933,5.166,4.4,3.874,3.568
934,0.974,0.76,0.748,0.696
935,6.256,5.076,5.332,4.168
936,9.786,7.134,8.114,5.922
937,9.552,6.432,7.948,5.25
938,5.268,3.908,4.66,3.006
939,5.74,4.408,5.142,3.736
940,2.714,2.544,2.304,1.866
941,8.03,6.736,7.376,5.396
942,8.478,7.02,7.68,5.402
943,3.398,2.652,2.738,2.006
944,1.234,0.912,0.992,0.752
945,1.754,1.314,1.314,0.962
946,4.172,3.838,3.544,2.634
947,2.71,2.196,1.8,1.686
948,4.218,3.924,2.924,2.866
949,5.822,6.078,4.828,4.522
950,3.216,3.398,2.528,2.596
951,1.614,1.034,0.836,0.768
952,2.26,1.59,1.548,1.126
953,4.214,3.95,3.162,3.062
954,5.488,6.108,5.17,4.806
955,5.732,5.998,5.276,4.922
956,5.806,5.378,4.962,4.504
957,2.744,2.058,1.868,1.72
958,5.896,4.596,5.024,3.916
959,6.52,5.44,6.132,4.37
960,6.514,6.196,6.404,4.866
961,7.408,6.54,6.554,5.016
962,7.354,6.386,6.98,5.13
963,6.598,5.828,6.416,4.438
964,3.556,2.628,2.654,2.254
965,7.844,5.482,7.068,4.45
966,8.426,6.734,7.754,5.256
967,7.95,6.694,6.952,5.13
968,3.776,3.04,3.276,2.222
969,2.77,2.374,2.602,1.932
970,5.614,4.892,4.928,3.902
971,2.886,2.668,2.582,2.194
972,4.618,3.254,4.39,2.276
973,7.954,6.51,7.398,4.8
974,7.52,6.526,8.036,5.138
975,1.32,1.07,1.294,0.684
976,7.486,5.364,6.276,3.984
977,11.718,7.498,10.768,6.056
978,11.626,7.086,10.566,5.96
979,5.066,3.646,5.22,2.812
980,0.352,0.268,0.306,0.162
981,9.45,7.024,9.858,5.642
982,6.696,5.316,6.67,3.976
983,9.912,7.396,9.622,6.034
984,5.716,4.896,5.692,3.538
985,3.194,3.146,3.592,2.284
986,11.15,7.338,12.5,5.908
987,9.512,7.496,9.474,5.694
988,10.2,8.17,9.432,6.386
989,8.346,6.442,6.77,4.914
990,10.168,8.116,9.13,6.802
991,11.222,8.948,10.286,7.172
992,11.734,8.092,11.038,7.37
993,11.774,7.248,11.18,6.954
994,10.856,8.168,9.71,6.77
995,11.164,8.038,9.64,7.054
996,10.342,7.826,9.274,6.832
997,9.902,8.356,9.232,6.844
998,10.43,8.152,9.52,7.156
999,11.186,8.118,10.144,6.544
1000,10.952,7.354,10.526,6.08
1001,10.354,7.622,9.12,6.07
1002,10.572,7.876,9.116,6.802
1003,5.804,4.854,5.408,5.048
1004,7.512,5.274,7.658,4.614
1005,7.094,4.816,6.902,4.28
1006,9.372,5.756,9.908,5.38
1007,8.1,5.796,8.144,4.82
1008,8.53,6.12,7.862,5.054
1009,8.764,7.168,8.308,5.978
1010,8.748,7.424,8.24,5.952
1011,9.662,7.674,8.75,6.14
1012,10.304,6.892,9.126,6.046
1013,10.206,6.862,9.458,5.76
1014,8.916,6.184,8.756,5.308
1015,8.35,7.09,7.748,5.728
1016,8.53,7.3,7.734,5.69
1017,8.122,6.898,7.38,5.566
1018,7.668,6.984,7.598,5.47
1019,7.566,6.876,7.278,5.34
1020,8.85,6.782,7.832,5.652
1021,8.584,6.212,7.588,5.15
1022,8.19,6.88,7.67,5.584
1023,8.634,7.394,8.202,5.86
1024,8.078,7.25,7.51,5.9
1025,7.732,6.854,7.274,5.55
1026,6.972,6.038,6.778,5.16
1027,7.212,5.692,6.284,4.858
1028,7.296,5.494,6.98,4.974
1029,7.728,6.832,7.698,5.614
1030,8.444,7.14,7.698,5.488
1031,8.122,7.192,7.506,5.572
1032,8.086,6.994,7.53,5.38
1033,8.504,6.662,8.402,5.678
1034,8.696,6.306,7.696,5.462
1035,3.39,2.508,2.494,2.192
1036,7.66,6.742,7.17,5.264
1037,6.096,5.19,5.594,4.08
1038,6.844,5.586,6.11,4.434
1039,7.992,6.262,7.076,4.896
1040,8.818,6.834,7.42,5.452
1041,8.142,5.924,6.972,5.036
1042,6.034,4.77,5.312,3.772
1043,6.662,6.012,6.02,4.422
1044,7.374,6.368,6.558,4.834
1045,8.098,6.684,7.024,5.0
1046,8.06,6.712,6.982,5.162
1047,8.496,6.824,7.602,5.37
1048,8.078,5.938,6.794,4.86
1049,6.926,5.368,5.872,4.29
1050,8.228,6.73,7.342,5.232
1051,7.732,6.308,6.468,4.696
1052,4.078,3.208,3.384,2.416
1053,3.324,2.764,2.816,2.024
1054,5.836,4.714,4.83,3.56
1055,5.568,4.67,4.726,3.86
1056,3.502,2.828,2.558,2.076
1057,5.516,4.456,4.598,3.348
1058,5.67,4.782,4.966,3.446
1059,6.224,4.8,5.344,3.566
1060,5.998,5.038,5.414,3.692
1061,5.314,4.748,4.752,3.444
1062,3.768,3.05,2.874,2.326
1063,3.186,2.638,2.528,2.122
1064,4.862,3.852,3.98,2.704
1065,5.088,4.186,4.396,2.952
1066,5.1,4.386,4.632,3.064
1067,4.582,3.992,4.114,2.846
1068,4.884,3.984,4.278,2.676
1069,4.274,3.408,3.308,2.406
1070,3.926,3.006,3.242,2.496
1071,4.564,3.682,4.15,2.716
1072,4.744,3.712,3.998,2.598
1073,4.86,3.916,4.194,2.708
1074,5.186,4.18,4.548,2.916
1075,5.268,4.244,4.646,2.978
1076,4.148,3.244,3.606,2.612
1077,1.334,1.124,1.048,0.916
1078,2.696,2.08,2.262,1.5
1079,2.678,2.146,2.348,1.568
1080,2.808,2.136,2.24,1.532
1081,3.176,2.462,2.738,1.782
1082,3.11,2.522,2.682,1.708
1083,2.65,1.884,1.912,1.522
1084,2.344,1.834,1.824,1.454
1085,3.602,2.946,3.222,1.892
1086,4.182,3.306,3.708,2.302
1087,4.12,3.382,3.722,2.306
1088,3.878,3.164,3.704,2.24
1089,2.664,2.164,2.49,1.68
1090,3.322,2.77,3.228,2.198
1091,3.528,2.604,3.258,2.038
1092,4.542,3.588,4.506,2.48
1093,3.694,3.054,3.222,2.118
1094,2.366,1.812,2.012,1.174
1095,2.366,2.018,1.988,1.358
1096,2.07,1.65,1.676,1.222
1097,2.062,1.906,1.822,1.44
1098,1.918,1.854,1.81,1.278
1099,3.238,2.716,2.934,1.71
1100,2.864,2.372,2.526,1.53
1101,2.26,1.832,2.018,1.156
1102,0.522,0.5,0.54,0.286
1103,0.76,0.822,0.704,0.48
1104,0.904,0.944,0.778,0.568
1105,1.004,1.0,0.924,0.662
1106,1.816,1.756,1.844,1.184
1107,1.202,1.134,1.156,0.64
1108,1.852,1.666,1.92,0.996
1109,3.056,2.66,3.17,1.864
1110,3.136,2.618,2.83,1.736
1111,2.114,1.988,1.82,1.402
1112,1.644,1.702,1.408,1.142
1113,1.71,1.672,1.742,0.956
1114,2.508,2.366,2.478,1.484
1115,3.408,3.062,3.276,2.004
1116,1.8,1.378,1.376,0.938
1117,3.36,2.908,2.98,1.98
1118,3.894,3.226,3.716,2.322
1119,4.842,3.694,4.734,2.718
1120,5.244,4.354,5.064,2.972
1121,2.346,2.182,2.266,1.584
1122,4.22,3.588,4.19,2.608
1123,2.214,1.944,2.002,1.336
1124,2.332,2.174,1.982,1.426
1125,2.548,2.146,2.244,1.61
1126,3.848,3.012,3.69,2.308
1127,3.898,3.476,3.648,2.306
1128,3.124,2.796,2.606,1.708
1129,3.026,2.71,2.672,1.688
1130,2.06,1.82,1.976,1.082
1131,3.858,3.26,3.298,2.224
1132,4.306,3.24,3.734,2.51
1133,3.552,2.714,3.298,2.25
1134,3.216,2.852,2.992,1.994
1135,3.922,3.438,3.558,2.214
1136,4.45,3.6,3.896,2.574
1137,3.478,2.842,3.354,2.194
1138,3.886,2.738,3.816,2.444
1139,5.274,3.706,5.596,3.07
1140,4.726,3.364,4.158,2.72
1141,3.23,2.772,2.738,1.87
1142,2.298,1.984,1.868,1.31
1143,2.278,2.022,1.912,1.254
1144,3.06,2.51,2.608,1.636
1145,4.384,3.514,3.852,2.512
1146,6.432,4.582,6.022,3.452
1147,7.858,5.126,7.754,3.878
1148,5.648,4.498,5.07,2.95
1149,4.544,3.712,4.12,2.566
1150,5.55,4.416,5.074,2.812
1151,5.386,4.548,4.698,2.85
1152,7.172,5.126,6.546,3.538
1153,8.086,5.648,7.952,4.438
1154,6.798,4.644,6.344,3.56
1155,0.354,0.322,0.23,0.212
1156,4.966,4.208,4.636,2.528
1157,6.32,5.154,5.646,3.298
1158,6.526,5.366,5.822,3.646
1159,8.048,6.098,7.156,4.104
1160,5.756,4.59,5.518,3.436
1161,7.848,5.252,6.904,4.068
1162,7.066,5.786,6.302,3.894
1163,7.062,5.812,6.406,3.954
1164,8.012,6.298,7.14,4.324
1165,7.536,5.89,6.512,4.226
1166,6.596,5.428,5.604,3.586
1167,8.644,5.976,7.872,4.404
1168,8.1,5.518,6.902,4.038
1169,7.152,5.94,6.236,4.154
1170,7.114,5.818,6.094,4.096
1171,8.28,6.284,7.2,4.694
1172,8.748,6.992,7.258,4.742
1173,10.35,7.658,8.548,5.298
1174,2.59,2.346,2.294,1.814
1175,5.286,4.364,4.638,3.384
1176,7.16,5.948,6.238,4.046
1177,8.278,6.65,7.44,4.758
1178,8.796,7.064,7.992,4.766
1179,9.342,7.394,7.972,5.342
1180,10.26,7.596,8.53,5.37
1181,2.24,1.646,1.674,1.404
1182,3.236,2.424,2.572,1.772
1183,6.9,6.116,6.082,3.914
1184,9.62,7.796,8.44,5.598
1185,11.206,8.488,10.144,6.048
1186,11.448,8.896,10.542,6.374
1187,11.074,8.382,9.974,6.408
1188,1.636,1.236,1.028,1.07
1189,9.3,6.442,8.732,4.958
1190,10.232,8.166,9.724,6.018
1191,11.306,8.91,9.442,5.978
1192,11.188,8.566,9.388,6.302
1193,10.25,8.032,8.818,5.672
1194,11.186,8.496,10.05,6.112
1195,11.804,7.666,10.506,6.006
1196,11.556,7.658,11.572,6.276
1197,2.91,2.386,1.994,1.668
1198,7.286,6.298,7.028,4.772
1199,8.662,7.65,8.136,5.26
1200,10.31,8.292,9.056,5.882
1201,7.646,6.608,6.298,4.56
1202,6.664,5.144,5.846,3.5
1203,9.858,7.162,9.314,5.608
1204,9.96,8.368,9.214,5.728
1205,10.666,8.498,8.804,6.214
1206,10.96,9.12,9.478,6.362
1207,10.772,8.894,9.21,6.37
1208,10.77,8.862,9.208,6.192
1209,11.896,8.46,10.854,6.774
1210,12.752,8.612,11.826,6.554
1211,11.402,9.326,9.938,6.51
1212,9.516,7.974,8.488,5.612
1213,10.894,8.604,9.134,6.144
1214,9.372,8.144,8.494,5.56
1215,7.722,6.348,6.364,4.22
1216,3.714,3.014,3.016,2.646
1217,10.966,7.848,11.012,6.376
1218,11.156,9.37,10.17,6.692
1219,2.734,2.172,1.894,1.484
1220,12.446,8.32,12.348,6.262
1221,11.304,8.946,10.466,6.42
1222,8.602,6.78,6.69,4.752
1223,7.154,5.456,5.334,4.646
1224,11.83,7.846,10.164,6.286
1225,8.954,7.794,7.29,5.528
1226,11.838,10.048,10.316,7.154
1227,12.036,10.058,10.31,7.334
1228,12.022,10.236,9.986,7.236
1229,12.36,9.876,9.936,7.266
1230,3.532,2.904,2.602,2.36
1231,0.3,0.218,0.18,0.17
1232,5.608,4.974,4.978,3.494
1233,11.084,9.858,9.902,7.142
1234,13.204,9.448,12.27,7.38
1235,6.416,5.488,5.366,3.78
1236,7.084,6.058,5.92,4.358
1237,12.506,9.218,10.858,7.338
1238,11.708,8.37,9.864,6.908
1239,11.344,9.524,9.836,6.782
1240,8.998,7.382,6.882,5.212
1241,11.092,9.358,9.62,6.392
1242,7.15,5.878,5.006,4.508
1243,6.978,6.328,5.128,4.866
1244,6.104,4.902,4.558,3.418
1245,8.42,6.366,8.33,5.222
1246,10.022,8.674,9.012,6.344
1247,10.17,8.192,8.136,6.006
1248,11.884,10.086,9.914,7.174
1249,3.776,3.542,2.842,2.174
1250,10.74,9.88,10.548,6.778
1251,12.092,8.624,10.676,7.19
1252,11.194,8.376,9.838,6.596
1253,10.608,9.402,9.072,6.344
1254,11.202,10.22,9.724,6.996
1255,10.766,9.82,9.54,6.878
1256,7.048,6.588,6.168,4.208
1257,10.528,9.162,9.224,6.212
1258,11.464,8.188,8.958,6.686
1259,10.294,7.234,8.046,6.01
1260,11.21,9.712,9.086,6.864
1261,9.212,7.832,6.964,5.356
1262,12.496,10.862,10.438,7.472
1263,10.104,9.114,8.57,6.448
1264,7.352,6.65,5.484,4.922
1265,12.086,8.602,9.404,6.9
1266,10.61,8.296,9.088,6.606
1267,12.168,10.7,10.588,7.342
1268,10.902,9.77,9.138,5.956
1269,10.582,9.848,9.306,7.314
1270,10.94,9.408,10.142,6.054
1271,11.898,10.44,10.478,7.688
1272,9.758,7.588,8.24,5.744
1273,9.002,6.936,7.27,5.534
1274,10.232,9.082,8.712,5.386
1275,9.278,8.034,7.896,5.316
1276,10.348,9.28,8.68,6.032
1277,11.636,10.31,9.878,7.548
1278,12.0,9.88,10.24,7.346
1279,4.828,3.946,3.466,2.946
1280,3.216,2.556,2.656,1.906
1281,11.176,10.232,9.598,7.206
1282,11.546,10.606,10.016,7.572
1283,10.112,9.21,8.664,6.56
1284,9.918,9.158,8.574,6.062
1285,11.418,10.536,9.606,6.972
1286,9.74,8.424,7.918,6.406
1287,7.696,6.198,6.498,3.962
1288,10.646,9.89,8.818,6.936
1289,10.982,9.756,9.114,6.914
1290,10.56,9.744,8.882,6.888
1291,7.994,7.556,6.86,4.718
1292,10.114,9.07,8.146,6.276
1293,10.156,7.276,8.11,5.978
1294,8.892,7.392,7.598,5.528
1295,9.49,8.518,7.394,5.996
1296,11.478,9.962,9.484,6.76
1297,10.858,9.106,8.692,6.192
1298,10.222,9.044,8.572,6.094
1299,10.452,9.042,8.572,6.14
1300,9.004,7.12,7.182,5.478
1301,8.252,6.21,6.104,4.578
1302,10.716,8.96,8.53,5.934
1303,10.184,8.922,8.398,6.18
1304,10.336,8.77,8.128,6.222
1305,9.134,8.672,8.228,5.944
1306,10.638,8.79,9.006,6.306
1307,8.998,6.774,6.836,5.36
1308,4.392,3.536,3.226,2.726
1309,9.232,7.51,6.814,5.278
1310,10.974,9.148,8.714,6.402
1311,10.87,9.338,8.538,6.522
1312,10.896,9.054,8.798,6.504
1313,10.644,9.08,8.77,6.552
1314,10.832,8.254,8.158,6.442
1315,8.838,6.246,6.138,5.386
1316,11.876,10.128,9.516,6.976
1317,12.25,10.214,9.888,7.04
1318,12.144,10.108,9.8,6.978
1319,8.416,7.534,6.854,5.024
1320,11.824,10.404,10.498,7.258
1321,12.18,8.988,10.478,7.148
1322,11.374,8.684,10.808,6.39
1323,12.006,9.068,10.612,7.054
1324,7.588,6.456,5.884,4.852
1325,11.016,9.176,9.394,6.502
1326,13.218,10.918,11.096,7.42
1327,12.442,10.458,10.568,7.304
1328,3.664,2.778,3.032,2.068
1329,11.918,7.818,10.098,6.444
1330,4.47,4.032,3.37,2.57
1331,3.98,2.99,3.06,1.764
1332,9.852,9.276,8.876,6.106
1333,10.622,9.242,9.048,6.356
1334,7.45,6.692,6.282,4.768
1335,12.818,9.304,10.81,7.156
1336,12.204,8.588,10.344,6.828
1337,13.242,11.016,10.778,7.402
1338,2.69,2.262,1.93,1.49
1339,10.466,8.796,8.758,6.394
1340,13.036,11.172,11.166,7.528
1341,14.56,11.348,11.992,7.864
1342,15.184,10.02,13.366,7.814
1343,14.042,9.676,12.248,7.516
1344,7.042,6.21,5.524,4.21
1345,1.178,1.2,1.168,0.72
1346,11.99,10.618,10.842,6.866
1347,13.222,11.708,11.394,7.83
1348,13.328,10.932,10.928,7.466
1349,13.766,9.524,11.072,7.538
1350,13.08,9.192,10.448,6.65
1351,12.614,11.012,10.046,7.298
1352,12.646,10.83,10.742,7.472
1353,12.718,11.14,10.844,7.852
1354,13.51,11.15,11.038,7.746
1355,13.83,11.102,11.398,8.028
1356,12.54,9.008,10.364,6.962
1357,10.596,7.336,8.89,6.402
1358,9.514,6.532,8.55,6.322
1359,7.432,5.268,6.538,4.628
1360,10.58,7.758,10.414,6.324
1361,13.218,10.958,11.342,7.596
1362,13.664,11.068,11.148,7.942
1363,13.542,9.788,11.39,7.826
1364,13.616,9.248,11.944,7.276
1365,11.354,9.72,9.308,6.6
1366,7.302,7.084,5.798,4.574
1367,5.252,4.564,4.494,3.202
1368,13.082,11.298,10.772,7.464
1369,12.176,10.488,10.164,7.252
1370,13.204,9.494,11.63,7.362
1371,13.926,8.944,11.87,7.136
1372,7.594,5.814,5.756,4.29
1373,10.248,8.41,8.228,6.432
1374,7.41,5.912,5.316,4.002
1375,10.308,8.638,8.07,6.33
1376,6.074,5.58,5.146,3.676
1377,11.336,7.942,10.142,6.788
1378,3.48,2.682,2.844,2.09
1379,11.192,8.218,10.058,6.38
1380,11.64,9.666,9.9,7.044
1381,12.562,10.522,10.528,7.538
1382,12.85,10.668,10.588,7.926
1383,11.29,9.474,9.022,6.872
1384,7.82,6.428,5.672,5.092
1385,6.438,5.36,5.07,4.038
1386,7.526,6.642,6.574,4.628
1387,8.604,7.852,7.564,5.576
1388,9.734,8.754,8.328,6.212
1389,10.014,8.864,8.352,6.21
1390,11.18,9.138,8.796,6.53
1391,10.384,7.322,8.388,5.912
1392,9.84,6.806,7.938,5.266
1393,10.66,8.548,8.792,6.22
1394,11.468,9.44,9.322,6.864
1395,11.236,9.492,9.206,6.506
1396,11.618,9.684,9.458,6.792
1397,11.844,9.604,9.466,6.734
1398,10.536,7.766,8.63,6.268
1399,8.61,6.486,7.942,5.206
1400,10.632,9.248,9.08,6.354
1401,11.508,9.898,9.804,7.076
1402,11.33,9.942,9.726,6.89
1403,11.29,9.596,9.412,6.57
1404,11.95,9.91,9.834,6.696
1405,11.27,8.254,9.206,6.438
1406,10.56,7.628,9.008,5.934
1407,1.796,1.958,1.216,1.54
1408,3.904,3.654,2.766,2.756
1409,7.078,6.594,5.61,4.61
1410,8.1,7.1,6.498,5.004
1411,8.068,7.024,6.676,5.056
1412,7.962,6.212,6.74,4.898
1413,8.412,6.496,6.85,4.802
1414,9.348,8.186,7.818,5.55
1415,9.772,8.266,7.834,5.728
1416,9.51,8.166,7.586,5.622
1417,9.598,7.828,7.85,5.428
1418,10.072,8.288,8.346,5.936
1419,8.238,6.54,6.042,4.914
1420,6.226,5.12,4.728,3.912
1421,6.234,5.7,5.058,3.75
1422,6.186,5.7,4.918,3.784
1423,7.268,6.636,6.166,4.444
1424,7.666,6.834,6.7,4.69
1425,7.408,6.27,6.242,4.472
1426,6.572,5.17,5.182,3.982
1427,6.248,5.1,4.806,3.736
1428,8.454,7.214,6.676,4.972
1429,2.648,2.326,1.784,1.506
1430,5.412,4.854,4.224,3.252
1431,6.152,4.94,4.85,3.268
1432,6.342,5.55,4.888,3.632
1433,5.46,4.492,3.786,3.462
1434,5.494,4.478,4.098,3.536
1435,7.536,6.586,6.37,4.1
1436,7.892,7.09,6.594,4.536
1437,7.932,7.01,6.516,4.768
1438,8.086,6.898,6.75,4.53
1439,6.766,5.5,5.426,3.65
1440,6.562,5.094,4.922,4.006
1441,4.37,3.454,3.168,2.63
1442,5.814,5.174,4.41,3.17
1443,5.034,4.564,4.036,2.926
1444,5.994,4.932,5.016,3.382
1445,7.146,6.286,5.894,4.094
1446,4.468,3.74,3.518,2.36
1447,2.316,1.79,1.64,1.56
1448,1.77,1.682,1.306,1.212
1449,5.364,4.868,4.824,3.132
1450,6.468,5.618,5.328,3.636
1451,6.436,5.612,5.634,3.742
1452,6.668,5.69,5.812,3.898
1453,5.02,4.028,3.99,3.092
1454,1.946,1.474,1.148,1.246
1455,1.62,1.378,0.992,1.004
1456,3.83,3.416,2.908,2.35
1457,4.51,3.89,3.714,2.7
1458,4.49,3.524,3.66,2.524
1459,4.444,3.574,3.53,2.506
1460,3.616,3.21,2.62,2.146
1461,3.2302355766296387,2.393030405044556,2.8642072677612305,1.8323568105697632
1462,2.83615779876709,2.2583792209625244,2.6315433979034424,1.7460867166519165
1463,3.216846942901612,2.3586788177490234,2.6651370525360107,1.7229595184326172
1464,2.864908218383789,2.442888021469116,2.665614604949951,1.8141567707061768
1465,3.130101203918457,2.3329787254333496,2.9761502742767334,1.7188268899917605
1466,3.175488471984864,2.3091673851013184,2.742032527923584,1.7080084085464478
1467,3.166637897491455,2.492908000946045,3.1668264865875244,1.7741659879684448
1468,3.117441415786743,2.420672416687012,2.913973093032837,1.85920000076294
1469,3.186499118804932,2.46775484085083,2.6675784587860107,1.846340894699097
1470,3.246993064880371,2.455033540725708,2.9474427700042725,1.8027089834213257
1471,3.1898982524871826,2.2551419734954834,2.9161195755004883,1.7008455991744995
1472,3.054142475128174,2.450068950653076,2.86195969581604,1.7839421033859253
1473,3.287331342697144,2.343825340270996,2.899497032165528,1.7212661504745483
1474,3.079791307449341,2.6028478145599365,3.08771014213562,1.866816520690918
1475,2.585925817489624,2.248826265335083,2.7737388610839844,1.6828100681304932
1476,3.061525821685791,2.192751407623291,2.5145671367645264,1.6730587482452393
1477,3.104703664779663,2.2723381519317627,2.802283763885498,1.7524561882019043
1478,3.04569149017334,2.364957571029663,2.8771071434021,1.7557055950164795
1479,3.07733416557312,2.5493857860565186,2.978731155395508,1.858771085739136
1480,3.2259626388549805,2.2827365398406982,2.569663047790528,1.7174994945526123
1481,3.0582730770111084,2.470160961151123,2.9916672706604004,1.8313113451004028
1482,3.1689324378967285,2.5084307193756104,2.8918700218200684,1.830381155014038
1483,3.379798173904419,2.516585350036621,3.1352453231811523,1.8591694831848145
1484,2.764648914337158,2.270317554473877,2.713358163833618,1.7973610162734983
1485,2.770366907119751,2.3520171642303467,2.490247964859009,1.7309670448303225
1486,3.177386522293091,2.3898348808288574,2.8216593265533447,1.7437320947647097
1487,3.254108667373657,2.4370245933532715,2.9576854705810547,1.8616070747375488
1488,2.618100881576538,2.427222490310669,2.739102602005005,1.7956275939941406
1489,2.7634522914886475,2.3153650760650635,2.842962741851806,1.82173490524292
1490,2.8245530128479004,2.194153070449829,2.744295120239258,1.8062241077423096
1491,3.1283838748931885,2.4959795475006104,2.6164627075195312,1.823732256889344
